Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000124302	ENST00000650847	Q9H2A9	CHST8
ENSG00000096093	ENST00000371068	Q5JVL4	EFHC1
ENSG00000102048	ENST00000380488	Q96DX5	ASB9
ENSG00000118276	ENST00000306851	Q9UBX8	B4GALT6
ENSG00000054118	ENST00000354618	Q9Y2W1	THRAP3
ENSG00000126368	ENST00000246672	P20393	NR1D1
ENSG00000101546	ENST00000306735	Q8N0V3	RBFA
ENSG00000100288	ENST00000406938	Q9Y259	CHKB
ENSG00000064218	ENST00000190165	Q9NQL9	DMRT3
ENSG00000120159	ENST00000333916	Q9H8G2	CAAP1
ENSG00000078142	ENST00000262039	Q8NEB9	PIK3C3
ENSG00000114520	ENST00000251775	O95219	SNX4
ENSG00000106355	ENST00000450169	Q9Y4Y9	LSM5
ENSG00000083307	ENST00000646743	Q6ISB3	GRHL2
ENSG00000077684	ENST00000226319	Q6IE81	JADE1
ENSG00000126215	ENST00000555055	O43542	XRCC3
ENSG00000115239	ENST00000263634	Q9Y575	ASB3
ENSG00000100206	ENST00000216024	Q14565	DMC1
ENSG00000124198	ENST00000371917	Q9Y6D5	ARFGEF2
ENSG00000100722	ENST00000251038	Q6PJT7	ZC3H14
ENSG00000107874	ENST00000369937	Q9H467	CUEDC2
ENSG00000111581	ENST00000229179	P57740	NUP107
ENSG00000100379	ENST00000403888	Q8N5Z5	KCTD17
ENSG00000060069	ENST00000613122	Q9Y5B0	CTDP1
ENSG00000055813	ENST00000407595	Q96PX6	CCDC85A
ENSG00000124449	ENST00000244314	Q6NXR0	IRGC
ENSG00000087589	ENST00000679887	Q9NQ75	CASS4
ENSG00000101247	ENST00000378106	Q5TEU4	NDUFAF5
ENSG00000122026	ENST00000311549	P46778	RPL21
ENSG00000124171	ENST00000371610	Q9BYG5	PARD6B
ENSG00000124217	ENST00000244051	O95396	MOCS3
ENSG00000112290	ENST00000392589	Q92558	WASF1
ENSG00000119801	ENST00000261353	P62699	YPEL5
ENSG00000125148	ENST00000245185	P02795	MT2A
ENSG00000103316	ENST00000572914	Q14894	CRYM
ENSG00000008018	ENST00000262193	P20618	PSMB1
ENSG00000105507	ENST00000293255	Q9NP86	CABP5
ENSG00000056586	ENST00000357244	Q9HBD1	RC3H2
ENSG00000101224	ENST00000245960	P30305	CDC25B
ENSG00000057608	ENST00000380191	P50395	GDI2
ENSG00000115875	ENST00000313117	Q16629	SRSF7
ENSG00000119139	ENST00000377245	Q9UDY2	TJP2
ENSG00000121289	ENST00000305768	Q96ST8	CEP89
ENSG00000092010	ENST00000206451	Q06323	PSME1
ENSG00000100425	ENST00000404760	O95696	BRD1
ENSG00000102882	ENST00000263025	P27361	MAPK3
ENSG00000054148	ENST00000247665	Q9NRX4	PHPT1
ENSG00000078114	ENST00000377122	O76041	NEBL
ENSG00000110318	ENST00000263468	Q9P2H0	CEP126
ENSG00000092295	ENST00000206765	P22735	TGM1
ENSG00000083290	ENST00000395544	Q8IYT8	ULK2
ENSG00000100968	ENST00000250373	Q14934	NFATC4
ENSG00000100351	ENST00000344138	O75791	GRAP2
ENSG00000125812	ENST00000338121	Q9H116	GZF1
ENSG00000087250	ENST00000200691	P25713	MT3
ENSG00000112425	ENST00000367519	O95278	EPM2A
ENSG00000107672	ENST00000369023	Q9NXX6	NSMCE4A
ENSG00000070601	ENST00000377765	Q5SYB0	FRMPD1
ENSG00000100888	ENST00000646647	Q9HCK8	CHD8
ENSG00000125354	ENST00000394610	Q14141	SEPTIN6
ENSG00000107959	ENST00000224949	Q5JRX3	PITRM1
ENSG00000124827	ENST00000379491	O75603	GCM2
ENSG00000121236	ENST00000380097	Q9C030	TRIM6
ENSG00000125398	ENST00000245479	P48436	SOX9
ENSG00000028528	ENST00000559844	Q13596	SNX1
ENSG00000120910	ENST00000240139	P48454	PPP3CC
ENSG00000123575	ENST00000493442	Q6PEV8	FAM199X
ENSG00000124733	ENST00000244711	Q16626	MEA1
ENSG00000119950	ENST00000332674	P50539	MXI1
ENSG00000106034	ENST00000310396	A4D0V7	CPED1
ENSG00000111046	ENST00000228641	P23409	MYF6
ENSG00000100060	ENST00000356998	O00587	MFNG
ENSG00000122481	ENST00000370202	Q9Y3V2	RWDD3
ENSG00000100065	ENST00000251973	Q9BWT7	CARD10
ENSG00000047315	ENST00000314595	P30876	POLR2B
ENSG00000107937	ENST00000360803	Q9BZE4	GTPBP4
ENSG00000084093	ENST00000309042	Q13127	REST
ENSG00000101639	ENST00000506447	Q8TEP8	CEP192
ENSG00000108551	ENST00000225688	Q9Y272	RASD1
ENSG00000006459	ENST00000397560	Q6ZMT4	KDM7A
ENSG00000109743	ENST00000265016	Q10588	BST1
ENSG00000113790	ENST00000231887	Q08426	EHHADH
ENSG00000059573	ENST00000371224	P54886	ALDH18A1
ENSG00000081181	ENST00000261783	P78540	ARG2
ENSG00000103067	ENST00000473183	Q9H6T0	ESRP2
ENSG00000103061	ENST00000263997	Q96CW6	SLC7A6OS
ENSG00000104205	ENST00000521198	Q96BR1	SGK3
ENSG00000075826	ENST00000370345	Q9NQW1	SEC31B
ENSG00000103150	ENST00000262430	O95822	MLYCD
ENSG00000105810	ENST00000424848	Q00534	CDK6
ENSG00000112584	ENST00000476287	Q96EK7	FAM120B
ENSG00000107815	ENST00000311916	Q96RR1	TWNK
ENSG00000096060	ENST00000357266	Q13451	FKBP5
ENSG00000119559	ENST00000585675	Q9UFG5	C19orf25
ENSG00000120526	ENST00000239690	Q96RS6	NUDCD1
ENSG00000100448	ENST00000216336	P08311	CTSG
ENSG00000049449	ENST00000054950	Q15293	RCN1
ENSG00000013275	ENST00000157812	P43686	PSMC4
ENSG00000115183	ENST00000263635	Q9C0D5	TANC1
ENSG00000092140	ENST00000206595	Q7L622	G2E3
ENSG00000092108	ENST00000458591	Q8WVM8	SCFD1
ENSG00000080511	ENST00000591589	Q9NYR8	RDH8
ENSG00000077935	ENST00000357450	Q8NDV3	SMC1B
ENSG00000088992	ENST00000335209	Q96BS2	TESC
ENSG00000110583	ENST00000377793	Q86UY6	NAA40
ENSG00000104472	ENST00000220913	Q9NRG0	CHRAC1
ENSG00000099399	ENST00000378988	O15479	MAGEB2
ENSG00000122728	ENST00000242310	Q8IZX4	TAF1L
ENSG00000033050	ENST00000287844	Q9UG63	ABCF2
ENSG00000102384	ENST00000682095	Q92674	CENPI
ENSG00000065413	ENST00000282272	Q8N8A2	ANKRD44
ENSG00000125414	ENST00000245503	Q9UKX2	MYH2
ENSG00000121417	ENST00000240731	Q13398	ZNF211
ENSG00000103043	ENST00000261776	Q08AM6	VAC14
ENSG00000126016	ENST00000371959	Q4VCS5	AMOT
ENSG00000071794	ENST00000310053	Q14527	HLTF
ENSG00000123810	ENST00000243578	Q9BPU9	B9D2
ENSG00000103365	ENST00000309859	Q9UJY4	GGA2
ENSG00000090487	ENST00000204566	Q9NZD8	SPG21
ENSG00000065559	ENST00000353533	P45985	MAP2K4
ENSG00000090470	ENST00000204549	Q8N8D1	PDCD7
ENSG00000006744	ENST00000338034	Q9BQ52	ELAC2
ENSG00000124659	ENST00000372876	Q15814	TBCC
ENSG00000101161	ENST00000266079	O94906	PRPF6
ENSG00000105647	ENST00000222254	O00459	PIK3R2
ENSG00000090263	ENST00000324787	Q9Y291	MRPS33
ENSG00000087299	ENST00000267436	Q9H9P8	L2HGDH
ENSG00000092200	ENST00000400017	Q96KN7	RPGRIP1
ENSG00000072864	ENST00000396354	Q9NXR1	NDE1
ENSG00000087365	ENST00000322535	Q13435	SF3B2
ENSG00000100941	ENST00000216832	Q9H307	PNN
ENSG00000104973	ENST00000312865	Q71SY5	MED25
ENSG00000124253	ENST00000319441	P35558	PCK1
ENSG00000095321	ENST00000318080	P43155	CRAT
ENSG00000104695	ENST00000221138	P62714	PPP2CB
ENSG00000100916	ENST00000216807	Q5PSV4	BRMS1L
ENSG00000104147	ENST00000220514	O43482	OIP5
ENSG00000112561	ENST00000373033	P19484	TFEB
ENSG00000116574	ENST00000366691	Q7L0Q8	RHOU
ENSG00000022976	ENST00000442396	A8K0R7	ZNF839
ENSG00000075239	ENST00000265838	P24752	ACAT1
ENSG00000075785	ENST00000265062	P51149	RAB7A
ENSG00000107807	ENST00000370196	P31314	TLX1
ENSG00000082269	ENST00000418814	Q9P2D6	FAM135A
ENSG00000117650	ENST00000366999	P51955	NEK2
ENSG00000104064	ENST00000380877	Q06547	GABPB1
ENSG00000122386	ENST00000219091	O95201	ZNF205
ENSG00000059122	ENST00000253928	Q4VC44	FLYWCH1
ENSG00000110619	ENST00000380525	P49589	CARS1
ENSG00000108469	ENST00000317905	O94762	RECQL5
ENSG00000104299	ENST00000521022	Q9NV88	INTS9
ENSG00000110344	ENST00000252108	Q14139	UBE4A
ENSG00000126458	ENST00000246792	P10301	RRAS
ENSG00000121058	ENST00000240316	P38432	COIL
ENSG00000111087	ENST00000228682	P08151	GLI1
ENSG00000100354	ENST00000454349	Q9UPQ9	TNRC6B
ENSG00000105792	ENST00000389297	A5D8W1	CFAP69
ENSG00000105793	ENST00000222511	A4D1E9	GTPBP10
ENSG00000060971	ENST00000333167	P09110	ACAA1
ENSG00000078747	ENST00000374864	Q96J02	ITCH
ENSG00000074964	ENST00000361221	Q9HCE6	ARHGEF10L
ENSG00000080572	ENST00000372453	Q9NQM4	DNAAF6
ENSG00000089050	ENST00000337227	O75884	RBBP9
ENSG00000104863	ENST00000221459	Q9HAP6	LIN7B
ENSG00000125826	ENST00000356286	Q9BYM8	RBCK1
ENSG00000102103	ENST00000447146	O60828	PQBP1
ENSG00000005469	ENST00000331536	Q9UKG9	CROT
ENSG00000101350	ENST00000375712	O15066	KIF3B
ENSG00000099795	ENST00000215565	P17568	NDUFB7
ENSG00000121864	ENST00000496856	Q9UID6	ZNF639
ENSG00000025772	ENST00000372813	Q15785	TOMM34
ENSG00000102890	ENST00000393997	Q96BJ8	ELMO3
ENSG00000066379	ENST00000332435	Q9P1U0	POLR1H
ENSG00000114450	ENST00000232564	Q9HAV0	GNB4
ENSG00000004139	ENST00000585482	Q6SZW1	SARM1
ENSG00000076984	ENST00000397979	O14733	MAP2K7
ENSG00000100360	ENST00000433985	Q9BW83	IFT27
ENSG00000034053	ENST00000683413	Q99767	APBA2
ENSG00000097046	ENST00000234626	O00311	CDC7
ENSG00000076382	ENST00000321765	Q96R06	SPAG5
ENSG00000115274	ENST00000233331	Q9C086	INO80B
ENSG00000049541	ENST00000055077	P35250	RFC2
ENSG00000101311	ENST00000217289	Q9BQL6	FERMT1
ENSG00000101898	ENST00000394552	A0A3B3IRV3	MCTS2
ENSG00000079974	ENST00000691320	Q9UNT1	RABL2B
ENSG00000126803	ENST00000247207	P54652	HSPA2
ENSG00000106299	ENST00000223023	O00401	WASL
ENSG00000002016	ENST00000358495	P43351	RAD52
ENSG00000125772	ENST00000379019	Q9NPB8	GPCPD1
ENSG00000123144	ENST00000242784	Q9BQ61	TRIR
ENSG00000007866	ENST00000338863	Q99594	TEAD3
ENSG00000087087	ENST00000611405	Q9BXP5	SRRT
ENSG00000112237	ENST00000520429	P24863	CCNC
ENSG00000114126	ENST00000489671	Q14188	TFDP2
ENSG00000103876	ENST00000561421	P16930	FAH
ENSG00000075886	ENST00000321253	P0DPH8	TUBA3D
ENSG00000101346	ENST00000375749	Q9H488	POFUT1
ENSG00000102317	ENST00000376759	P98179	RBM3
ENSG00000107099	ENST00000432829	Q8NF50	DOCK8
ENSG00000002330	ENST00000309032	Q92934	BAD
ENSG00000077721	ENST00000371558	P49459	UBE2A
ENSG00000073861	ENST00000177694	Q9UL17	TBX21
ENSG00000018610	ENST00000644802	Q9H5V9	STEEP1
ENSG00000107957	ENST00000369774	Q5TCZ1	SH3PXD2A
ENSG00000123416	ENST00000336023	P68363	TUBA1B
ENSG00000107816	ENST00000454422	Q9BRK4	LZTS2
ENSG00000051128	ENST00000392351	Q9NSC5	HOMER3
ENSG00000124575	ENST00000244534	P16402	H1-3
ENSG00000101004	ENST00000278886	Q9Y2I6	NINL
ENSG00000109920	ENST00000263773	Q8N3X1	FNBP4
ENSG00000079999	ENST00000171111	Q14145	KEAP1
ENSG00000105732	ENST00000359044	Q6ZN55	ZNF574
ENSG00000114209	ENST00000392750	Q9BUL8	PDCD10
ENSG00000103168	ENST00000566732	Q15572	TAF1C
ENSG00000120262	ENST00000239374	Q8IYT3	CCDC170
ENSG00000076770	ENST00000370853	Q9NUK0	MBNL3
ENSG00000118971	ENST00000261254	P30279	CCND2
ENSG00000099385	ENST00000215115	Q8WUZ0	BCL7C
ENSG00000079263	ENST00000392045	Q13342	SP140
ENSG00000103549	ENST00000324685	O75150	RNF40
ENSG00000120053	ENST00000370508	P17174	GOT1
ENSG00000083937	ENST00000263780	Q9UQN3	CHMP2B
ENSG00000013374	ENST00000568733	Q9Y5A7	NUB1
ENSG00000014641	ENST00000233114	P40925	MDH1
ENSG00000112511	ENST00000374516	O43189	PHF1
ENSG00000102145	ENST00000376670	P15976	GATA1
ENSG00000061273	ENST00000080059	Q8WUI4	HDAC7
ENSG00000122591	ENST00000432176	Q9BYI3	HYCC1
ENSG00000015592	ENST00000350889	Q9H169	STMN4
ENSG00000006062	ENST00000344686	Q99558	MAP3K14
ENSG00000115947	ENST00000392857	O43929	ORC4
ENSG00000077150	ENST00000661543	Q00653	NFKB2
ENSG00000101977	ENST00000519895	P10911	MCF2
ENSG00000056050	ENST00000393381	Q9NWY4	HPF1
ENSG00000065613	ENST00000369755	Q9H2G2	SLK
ENSG00000104055	ENST00000220420	O43548	TGM5
ENSG00000101413	ENST00000373433	Q9NQG5	RPRD1B
ENSG00000006634	ENST00000265728	Q9UBU7	DBF4
ENSG00000083444	ENST00000196061	Q02809	PLOD1
ENSG00000075142	ENST00000265729	P30626	SRI
ENSG00000086712	ENST00000380122	Q9NUQ3	TXLNG
ENSG00000126856	ENST00000449207	Q9NQW5	PRDM7
ENSG00000015133	ENST00000389857	Q9P219	CCDC88C
ENSG00000100938	ENST00000399440	Q9P2T1	GMPR2
ENSG00000011243	ENST00000397410	Q9ULX6	AKAP8L
ENSG00000089820	ENST00000350060	P98171	ARHGAP4
ENSG00000101255	ENST00000217233	Q96RU7	TRIB3
ENSG00000122140	ENST00000241600	Q9Y399	MRPS2
ENSG00000124216	ENST00000244050	O95863	SNAI1
ENSG00000107020	ENST00000223864	Q9HBL7	PLGRKT
ENSG00000050327	ENST00000056217	Q12774	ARHGEF5
ENSG00000106410	ENST00000467773	O60393	NOBOX
ENSG00000105258	ENST00000221859	P36954	POLR2I
ENSG00000107833	ENST00000370110	O75607	NPM3
ENSG00000048828	ENST00000277165	Q9NZB2	FAM120A
ENSG00000126247	ENST00000246533	P04632	CAPNS1
ENSG00000119929	ENST00000370476	Q9NTM9	CUTC
ENSG00000016082	ENST00000230658	P61371	ISL1
ENSG00000108799	ENST00000428826	Q92800	EZH1
ENSG00000111716	ENST00000350669	P07195	LDHB
ENSG00000105618	ENST00000321030	Q8WWY3	PRPF31
ENSG00000092871	ENST00000394597	Q8WZ73	RFFL
ENSG00000109381	ENST00000686138	Q15723	ELF2
ENSG00000104312	ENST00000220751	O43353	RIPK2
ENSG00000005073	ENST00000006015	P31270	HOXA11
ENSG00000102309	ENST00000373669	Q9Y237	PIN4
ENSG00000039560	ENST00000265109	Q9P0K7	RAI14
ENSG00000104140	ENST00000220507	Q96L33	RHOV
ENSG00000125124	ENST00000245157	Q9BXC9	BBS2
ENSG00000105619	ENST00000391759	P0C1Z6	TFPT
ENSG00000119285	ENST00000366582	Q9H583	HEATR1
ENSG00000117751	ENST00000311772	Q12972	PPP1R8
ENSG00000112242	ENST00000346618	O00716	E2F3
ENSG00000108417	ENST00000225550	O76014	KRT37
ENSG00000102878	ENST00000521374	Q9ULV5	HSF4
ENSG00000047056	ENST00000263150	Q9Y2I8	WDR37
ENSG00000002549	ENST00000226299	P28838	LAP3
ENSG00000006704	ENST00000424337	Q9UHL9	GTF2IRD1
ENSG00000117877	ENST00000309424	O15446	POLR1G
ENSG00000091831	ENST00000206249	P03372	ESR1
ENSG00000119723	ENST00000334571	Q9Y2Z9	COQ6
ENSG00000119614	ENST00000261980	P58304	VSX2
ENSG00000110697	ENST00000356404	O00562	PITPNM1
ENSG00000084207	ENST00000398606	P09211	GSTP1
ENSG00000116198	ENST00000378230	O60308	CEP104
ENSG00000112186	ENST00000229922	P40123	CAP2
ENSG00000105556	ENST00000264819	Q8N344	MIER2
ENSG00000102172	ENST00000404933	P52788	SMS
ENSG00000094916	ENST00000209875	P45973	CBX5
ENSG00000111639	ENST00000229238	Q4U2R6	MRPL51
ENSG00000107651	ENST00000369075	Q9Y6Y8	SEC23IP
ENSG00000065609	ENST00000369694	O60641	SNAP91
ENSG00000117395	ENST00000236051	Q99848	EBNA1BP2
ENSG00000113595	ENST00000231524	P36406	TRIM23
ENSG00000023572	ENST00000367439	Q9NS18	GLRX2
ENSG00000072195	ENST00000312358	Q15772	SPEG
ENSG00000113522	ENST00000378823	Q92878	RAD50
ENSG00000117625	ENST00000419091	Q9P2K3	RCOR3
ENSG00000113369	ENST00000265138	Q96B67	ARRDC3
ENSG00000106638	ENST00000305632	Q9Y4P3	TBL2
ENSG00000041880	ENST00000398755	Q9Y6F1	PARP3
ENSG00000015153	ENST00000534854	Q8IY57	YAF2
ENSG00000112299	ENST00000367928	O95497	VNN1
ENSG00000105784	ENST00000394654	Q96NL0	RUNDC3B
ENSG00000122859	ENST00000242462	Q9Y4Z2	NEUROG3
ENSG00000100442	ENST00000396062	Q00688	FKBP3
ENSG00000114268	ENST00000232375	Q16877	PFKFB4
ENSG00000044115	ENST00000302763	P35221	CTNNA1
ENSG00000036473	ENST00000039007	P00480	OTC
ENSG00000113272	ENST00000231198	Q9NWX6	THG1L
ENSG00000109436	ENST00000442267	Q6ZT07	TBC1D9
ENSG00000072201	ENST00000263925	Q8TBB1	LNX1
ENSG00000075975	ENST00000170447	Q9H000	MKRN2
ENSG00000108381	ENST00000263080	P45381	ASPA
ENSG00000108839	ENST00000251535	P18054	ALOX12
ENSG00000001084	ENST00000650454	P48506	GCLC
ENSG00000085840	ENST00000371568	Q13415	ORC1
ENSG00000106829	ENST00000376552	Q04727	TLE4
ENSG00000106290	ENST00000453269	P49848	TAF6
ENSG00000040633	ENST00000320316	Q9BUL5	PHF23
ENSG00000114841	ENST00000420323	Q9P2D7	DNAH1
ENSG00000076201	ENST00000265562	Q9H3S7	PTPN23
ENSG00000116983	ENST00000372844	Q9UM19	HPCAL4
ENSG00000109586	ENST00000265000	Q86SF2	GALNT7
ENSG00000086475	ENST00000327347	P49903	SEPHS1
ENSG00000102981	ENST00000458121	Q9NPB6	PARD6A
ENSG00000095059	ENST00000210060	P49366	DHPS
ENSG00000104885	ENST00000398665	Q8TEK3	DOT1L
ENSG00000104897	ENST00000221494	Q15428	SF3A2
ENSG00000118985	ENST00000237853	O00472	ELL2
ENSG00000116539	ENST00000392403	Q9NR48	ASH1L
ENSG00000120149	ENST00000239243	P35548	MSX2
ENSG00000011376	ENST00000645846	Q15031	LARS2
ENSG00000084652	ENST00000373610	P40222	TXLNA
ENSG00000116478	ENST00000373548	Q13547	HDAC1
ENSG00000124678	ENST00000311875	Q8WWU5	TCP11
ENSG00000110435	ENST00000227868	O00330	PDHX
ENSG00000110925	ENST00000228515	Q9H175	CSRNP2
ENSG00000113580	ENST00000394464	P04150	NR3C1
ENSG00000112039	ENST00000229769	Q9HB96	FANCE
ENSG00000119514	ENST00000375011	Q8IXK2	GALNT12
ENSG00000011332	ENST00000355526	Q92782	DPF1
ENSG00000127080	ENST00000287996	Q9H8X2	IPPK
ENSG00000107140	ENST00000336395	Q15569	TESK1
ENSG00000102879	ENST00000219150	P31146	CORO1A
ENSG00000111331	ENST00000228928	Q9Y6K5	OAS3
ENSG00000117450	ENST00000319248	Q06830	PRDX1
ENSG00000047578	ENST00000261588	O60303	KATNIP
ENSG00000100814	ENST00000358932	Q9NPC3	CCNB1IP1
ENSG00000105656	ENST00000262809	P55199	ELL
ENSG00000079102	ENST00000523629	Q06455	RUNX1T1
ENSG00000010818	ENST00000367603	P31629	HIVEP2
ENSG00000015479	ENST00000394805	P43243	MATR3
ENSG00000124507	ENST00000244458	Q9BY11	PACSIN1
ENSG00000066933	ENST00000356056	B2RTY4	MYO9A
ENSG00000104626	ENST00000250263	Q8IV48	ERI1
ENSG00000105402	ENST00000263354	P54920	NAPA
ENSG00000123607	ENST00000243344	Q7Z4L5	TTC21B
ENSG00000015676	ENST00000355451	Q8IVD9	NUDCD3
ENSG00000082126	ENST00000409474	Q96JB8	MPP4
ENSG00000099814	ENST00000414716	Q9Y4F5	CEP170B
ENSG00000103342	ENST00000434724	P15170	GSPT1
ENSG00000103005	ENST00000219281	Q9BQ65	USB1
ENSG00000095574	ENST00000368886	Q9H5V7	IKZF5
ENSG00000111328	ENST00000261692	O14519	CDK2AP1
ENSG00000086288	ENST00000199447	Q8N427	NME8
ENSG00000088727	ENST00000684063	Q9HAQ2	KIF9
ENSG00000116221	ENST00000360840	Q9BZE1	MRPL37
ENSG00000125170	ENST00000340099	Q8TEW6	DOK4
ENSG00000105255	ENST00000221856	Q9BTV5	FSD1
ENSG00000121749	ENST00000485960	Q8TC07	TBC1D15
ENSG00000120820	ENST00000360814	Q9H1C3	GLT8D2
ENSG00000074660	ENST00000263071	Q14162	SCARF1
ENSG00000060237	ENST00000315939	Q9H4A3	WNK1
ENSG00000120306	ENST00000261811	Q9H1C7	CYSTM1
