Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000621161	RAB11FIP4	Q86YS3
ENST00000310496	RFNG	Q9Y644
ENST00000327228	CETN1	Q12798
ENST00000356080	ADD3	Q9UEY8
ENST00000325870	DMRTA1	Q5VZB9
ENST00000282272	ANKRD44	Q8N8A2
ENST00000649979	IFIH1	Q9BYX4
ENST00000361183	CAPZA2	P47755
ENST00000299421	ILK	Q13418
ENST00000343010	C3orf62	Q6ZUJ4
ENST00000697116	FAM153A	Q9UHL3
ENST00000399050	CTNND1	O60716
ENST00000373764	MORN5	Q5VZ52
ENST00000315286	CCDC43	Q96MW1
ENST00000366691	RHOU	Q7L0Q8
ENST00000382348	OLIG1	Q8TAK6
ENST00000352618	RAD51AP1	Q96B01
ENST00000287996	IPPK	Q9H8X2
ENST00000424848	CDK6	Q00534
ENST00000361138	SMC5	Q8IY18
ENST00000358232	ELP2	Q6IA86
ENST00000261783	ARG2	P78540
ENST00000683046	PRELID2	Q8N945
ENST00000376285	PCCA	P05165
ENST00000284110	HS3ST3A1	Q9Y663
ENST00000611977	DGKK	Q5KSL6
ENST00000521022	INTS9	Q9NV88
ENST00000374080	MED12	Q93074
ENST00000396373	ETV6	P41212
ENST00000341099	ESR2	Q92731
ENST00000377957	FBXO48	Q5FWF7
ENST00000522232	PPP1R2B	Q6NXS1
ENST00000245185	MT2A	P02795
ENST00000454243	PHYHIP	Q92561
ENST00000394955	GPT	P24298
ENST00000301019	CDT1	Q9H211
ENST00000366472	SH3BP5L	Q7L8J4
ENST00000262428	COTL1	Q14019
ENST00000421807	INPP5K	Q9BT40
ENST00000373078	NAIF1	Q69YI7
ENST00000350669	LDHB	P07195
ENST00000373116	MRPS15	P82914
ENST00000496613	DENND2A	Q9ULE3
ENST00000324862	PRPF3	O43395
ENST00000539294	YTHDF3	Q7Z739
ENST00000239243	MSX2	P35548
ENST00000359744	PHOSPHO2	Q8TCD6
ENST00000495380	NBPF6	Q5VWK0
ENST00000261192	BCAT1	P54687
ENST00000634648	CENPVL2	P0DPI3
ENST00000308394	CASP3	P42574
ENST00000423632	TEX53	A0A1B0GU33
ENST00000272418	MRPS5	P82675
ENST00000233114	MDH1	P40925
ENST00000292562	ZNF251	Q9BRH9
ENST00000372358	EXOSC2	Q13868
ENST00000450660	FANCD2OS	Q96PS1
ENST00000553612	GTF2A1	P52655
ENST00000332408	SHC4	Q6S5L8
ENST00000398776	CAPN11	Q9UMQ6
ENST00000378378	ARHGEF16	Q5VV41
ENST00000321030	PRPF31	Q8WWY3
ENST00000599837	CTAG1A	P78358
ENST00000453269	TAF6	P49848
ENST00000646647	CHD8	Q9HCK8
ENST00000538197	CPEB2	Q7Z5Q1
ENST00000537592	SALL3	Q9BXA9
ENST00000409600	BZW1	Q7L1Q6
ENST00000253928	FLYWCH1	Q4VC44
ENST00000334307	IFTAP	Q86VG3
ENST00000336349	SPTY2D1	Q68D10
ENST00000353533	MAP2K4	P45985
ENST00000337737	DTX3	Q8N9I9
ENST00000452267	FAM25G	B3EWG6
ENST00000616558	SYTL1	Q8IYJ3
ENST00000370345	SEC31B	Q9NQW1
ENST00000398755	PARP3	Q9Y6F1
ENST00000272348	SNRPG	P62308
ENST00000313093	ARHGAP45	Q92619
ENST00000350889	STMN4	Q9H169
ENST00000215794	USP18	Q9UMW8
ENST00000427401	ZNF737	O75373
ENST00000278025	FUOM	A2VDF0
ENST00000486442	KLHL29	Q96CT2
ENST00000373783	ADO	Q96SZ5
ENST00000651391	CAPSL	Q8WWF8
ENST00000394464	NR3C1	P04150
ENST00000280772	ANK3	Q12955
ENST00000378609	GNB1	P62873
ENST00000370196	TLX1	P31314
ENST00000331536	CROT	Q9UKG9
ENST00000228928	OAS3	Q9Y6K5
ENST00000311014	DNAI2	Q9GZS0
ENST00000277746	NRBF2	Q96F24
ENST00000301068	RHEBL1	Q8TAI7
ENST00000391354	KRTAP9-7	A8MTY7
ENST00000370202	RWDD3	Q9Y3V2
ENST00000398559	TMF1	P82094
ENST00000414716	CEP170B	Q9Y4F5
ENST00000379561	FOXO1	Q12778
ENST00000376004	POGLUT2	Q6UW63
ENST00000367854	RCSD1	Q6JBY9
ENST00000318080	CRAT	P43155
ENST00000392351	HOMER3	Q9NSC5
ENST00000381482	STK35	Q8TDR2
ENST00000379958	SAMD9	Q5K651
ENST00000252456	CNN1	P51911
ENST00000512805	RACK1	P63244
ENST00000371964	SURF2	Q15527
ENST00000299492	PPFIBP2	Q8ND30
ENST00000597761	ZNF730	Q6ZMV8
ENST00000566621	CDIN1	Q9Y2V0
ENST00000347077	ZNF546	Q86UE3
ENST00000296658	CMBL	Q96DG6
ENST00000419091	RCOR3	Q9P2K3
ENST00000614859	CFAP107	Q8N1D5
ENST00000308721	BCL2L14	Q9BZR8
ENST00000394485	MT1X	P80297
ENST00000573035	GTF2I	P78347
ENST00000274773	TRIM7	Q9C029
ENST00000278612	NPAT	Q14207
ENST00000529246	C6orf141	Q5SZD1
ENST00000296215	SNIP1	Q8TAD8
ENST00000642029	SCYGR3	A0A286YF60
ENST00000343537	TP53BP2	Q13625
ENST00000255174	OSER1	Q9NX31
ENST00000434397	SPIN2B	Q9BPZ2
ENST00000361099	STAT1	P42224
ENST00000332131	SETD4	Q9NVD3
ENST00000263354	NAPA	P54920
ENST00000373537	BLCAP	P62952
ENST00000396659	GATM	P50440
ENST00000676266	VARS2	Q5ST30
ENST00000316052	EXOSC4	Q9NPD3
ENST00000311320	RIN1	Q13671
ENST00000308677	PRKACA	P17612
ENST00000375440	CUL4A	Q13619
ENST00000369849	INA	Q16352
ENST00000252108	UBE4A	Q14139
ENST00000684028	LCE3C	Q5T5A8
ENST00000421812	ZNF697	Q5TEC3
ENST00000268699	GAS8	O95995
ENST00000288087	MDP1	Q86V88
ENST00000298032	ARMC3	Q5W041
ENST00000271715	POGZ	Q7Z3K3
ENST00000373574	WDR38	Q5JTN6
ENST00000296511	ANXA5	P08758
ENST00000228515	CSRNP2	Q9H175
ENST00000331327	PURA	Q00577
ENST00000371959	AMOT	Q4VCS5
ENST00000331573	PSMG1	O95456
ENST00000288078	FCSK	Q8N0W3
ENST00000324134	NLRP12	P59046
ENST00000396398	NAGA	P17050
ENST00000369622	SYNCRIP	O60506
ENST00000502492	SNF8	Q96H20
ENST00000686138	ELF2	Q15723
ENST00000299506	TUB	P50607
ENST00000443585	C12orf75	Q8TAD7
ENST00000369183	FAM204A	Q9H8W3
ENST00000323929	MRE11	P49959
ENST00000244050	SNAI1	O95863
ENST00000372739	SPTAN1	Q13813
ENST00000311772	PPP1R8	Q12972
ENST00000351698	TOR1A	O14656
ENST00000275364	GNA12	Q03113
ENST00000258091	CCT7	Q99832
ENST00000369239	PNISR	Q8TF01
ENST00000157600	LMCD1	Q9NZU5
ENST00000392749	TANK	Q92844
ENST00000319441	PCK1	P35558
ENST00000283006	CENPH	Q9H3R5
ENST00000372642	ENDOG	Q14249
ENST00000333213	TSEN54	Q7Z6J9
ENST00000221494	SF3A2	Q15428
ENST00000337273	TNPO1	Q92973
ENST00000285407	KLF10	Q13118
ENST00000614923	TCHH	Q07283
ENST00000409790	CLEC16A	Q2KHT3
ENST00000394610	SEPTIN6	Q14141
ENST00000281623	FBXO4	Q9UKT5
ENST00000276055	CHST7	Q9NS84
ENST00000399022	RPRD1A	Q96P16
ENST00000553456	EMX2	Q04743
ENST00000377245	TJP2	Q9UDY2
ENST00000644802	STEEP1	Q9H5V9
ENST00000268989	SGSM2	O43147
ENST00000407599	GAGE10	A6NGK3
ENST00000367439	GLRX2	Q9NS18
ENST00000225688	RASD1	Q9Y272
ENST00000447648	TECPR1	Q7Z6L1
ENST00000263071	SCARF1	Q14162
ENST00000344629	OGG1	O15527
ENST00000358102	NR3C2	P08235
ENST00000380488	ASB9	Q96DX5
ENST00000269260	ARRB2	P32121
ENST00000341832	CDK11B	P21127
ENST00000013070	UBR7	Q8N806
ENST00000530464	UBTFL1	P0CB47
ENST00000284885	TMPRSS15	P98073
ENST00000263635	TANC1	Q9C0D5
ENST00000334202	KRTAP17-1	Q9BYP8
ENST00000378106	NDUFAF5	Q5TEU4
ENST00000357479	STRN3	Q13033
ENST00000307142	SYNPO2	Q9UMS6
ENST00000377401	H2BC13	Q99880
ENST00000366582	HEATR1	Q9H583
ENST00000287022	UQCRB	P14927
ENST00000332431	TCEAL7	Q9BRU2
ENST00000415041	USP17L12	C9JPN9
ENST00000399138	ALKBH5	Q6P6C2
ENST00000368830	MRPL9	Q9BYD2
ENST00000299575	ATMIN	O43313
ENST00000219281	USB1	Q9BQ65
ENST00000381707	NUTM2A	Q8IVF1
ENST00000294952	PPP1R21	Q6ZMI0
ENST00000056217	ARHGEF5	Q12774
ENST00000308018	MRPS12	O15235
ENST00000265000	GALNT7	Q86SF2
ENST00000375749	POFUT1	Q9H488
ENST00000367021	IRF6	O14896
ENST00000585482	SARM1	Q6SZW1
ENST00000263925	LNX1	Q8TBB1
ENST00000219091	ZNF205	O95201
ENST00000521268	RALYL	Q86SE5
ENST00000607778	GTF2H5	Q6ZYL4
ENST00000288912	CFAP251	Q8TBY9
ENST00000264917	PDE8B	O95263
ENST00000317012	ZBED2	Q9BTP6
ENST00000155093	ZFY	P08048
ENST00000360203	RTEL1	Q9NZ71
ENST00000242310	TAF1L	Q8IZX4
ENST00000369064	TARS2	Q9BW92
ENST00000467773	NOBOX	O60393
ENST00000331173	CSTF2T	Q9H0L4
ENST00000336133	SARNP	P82979
ENST00000601048	SELENOW	P63302
ENST00000335209	TESC	Q96BS2
ENST00000382159	GNG7	O60262
ENST00000374968	PAGE2	Q7Z2X7
ENST00000342988	SMAD4	Q13485
ENST00000392750	PDCD10	Q9BUL8
ENST00000266383	B4GALNT3	Q6L9W6
ENST00000215565	NDUFB7	P17568
ENST00000259365	TMOD1	P28289
ENST00000267935	COMMD4	Q9H0A8
ENST00000407610	ZCCHC9	Q8N567
ENST00000341333	TEX264	Q9Y6I9
ENST00000683415	GOLGA8B	A8MQT2
ENST00000392246	SUMO1	P63165
ENST00000369484	CMC4	P56277
ENST00000245503	MYH2	Q9UKX2
ENST00000369689	RIPPLY2	Q5TAB7
ENST00000505920	ATP5MGL	Q7Z4Y8
ENST00000367027	HSD11B1	P28845
ENST00000310955	CDC20	Q12834
ENST00000398578	ZC3H11C	P0DQW0
ENST00000338040	FBXO40	Q9UH90
ENST00000246792	RRAS	P10301
ENST00000357235	CDC42SE1	Q9NRR8
ENST00000285737	LONP2	Q86WA8
ENST00000611582	ARMC9	Q7Z3E5
ENST00000425611	NABP1	Q96AH0
ENST00000229340	RAB35	Q15286
ENST00000375499	SDHB	P21912
ENST00000315467	GCSH	P23434
ENST00000313582	NFKBIB	Q15653
ENST00000293695	SYCE2	Q6PIF2
ENST00000617714	PRSS56	P0CW18
ENST00000397766	PGBD4	Q96DM1
ENST00000361807	ZNF485	Q8NCK3
ENST00000261965	TUBGCP3	Q96CW5
ENST00000394570	UNC45B	Q8IWX7
ENST00000254227	NR0B2	Q15466
ENST00000372938	CIZ1	Q9ULV3
ENST00000511280	USP17L22	D6RA61
ENST00000400113	TUBA3C	P0DPH7
ENST00000264819	MIER2	Q8N344
ENST00000378988	MAGEB2	O15479
ENST00000322028	POLR2L	P62875
ENST00000373866	ARMC12	Q5T9G4
ENST00000322623	RUVBL1	Q9Y265
ENST00000519716	UNC13A	Q9UPW8
ENST00000273668	EAF2	Q96CJ1
ENST00000469257	EIF1	P41567
ENST00000249071	RAC2	P15153
ENST00000650831	FANCB	Q8NB91
ENST00000559844	SNX1	Q13596
ENST00000335012	C3orf70	A6NLC5
ENST00000366955	CENPF	P49454
ENST00000521198	SGK3	Q96BR1
ENST00000306908	ZNF57	Q68EA5
ENST00000417606	SRRM5	B3KS81
ENST00000379052	RBM24	Q9BX46
ENST00000330368	ACTRT3	Q9BYD9
ENST00000618348	GOLGA6L9	A6NEM1
ENST00000219478	ZNF500	O60304
ENST00000261588	KATNIP	O60303
ENST00000315073	TRIM41	Q8WV44
ENST00000408927	RAP1GDS1	P52306
ENST00000331493	EFCAB13	Q8IY85
ENST00000374165	C9orf43	Q8TAL5
ENST00000319153	DNAJB8	Q8NHS0
ENST00000468695	ZBTB8OS	Q8IWT0
ENST00000299213	LARP6	Q9BRS8
ENST00000357447	FRMD4A	Q9P2Q2
ENST00000329759	FAM43A	Q8N2R8
ENST00000371279	PARS2	Q7L3T8
ENST00000217893	TAF9	Q16594
ENST00000393997	ELMO3	Q96BJ8
ENST00000249269	PMPCB	O75439
ENST00000433477	CTSO	P43234
ENST00000391618	KRTAP12-4	P60329
ENST00000375511	SPANXN5	Q5MJ07
ENST00000301318	ZFP28	Q8NHY6
ENST00000397762	RAB2B	Q8WUD1
ENST00000259711	KIF13A	Q9H1H9
ENST00000200691	MT3	P25713
ENST00000258781	CCM2	Q9BSQ5
ENST00000684063	KIF9	Q9HAQ2
ENST00000310325	CTSF	Q9UBX1
ENST00000616448	PARG	Q86W56
ENST00000297598	PDP1	Q9P0J1
ENST00000331780	SPATA32	Q96LK8
ENST00000374282	PAFAH2	Q99487
ENST00000309042	REST	Q13127
ENST00000611405	SRRT	Q9BXP5
ENST00000185150	ERLEC1	Q96DZ1
ENST00000338148	MRPL30	Q8TCC3
ENST00000511681	USP17L29	Q0WX57
ENST00000358065	SETMAR	Q53H47
ENST00000372409	PCIF1	Q9H4Z3
ENST00000389924	DDX42	Q86XP3
ENST00000450053	NBEAL2	Q6ZNJ1
ENST00000299964	NNMT	P40261
ENST00000177694	TBX21	Q9UL17
ENST00000419583	BECN2	A8MW95
ENST00000341170	TSTD2	Q5T7W7
ENST00000287706	NTAN1	Q96AB6
ENST00000422806	NKX1-1	Q15270
ENST00000560346	PAK6	Q9NQU5
ENST00000404077	RSPH10B2	B2RC85
ENST00000533544	EIF1AD	Q8N9N8
ENST00000267436	L2HGDH	Q9H9P8
ENST00000672957	ASCC1	Q8N9N2
ENST00000397238	AGAP3	Q96P47
ENST00000377793	NAA40	Q86UY6
ENST00000332211	VDAC2	P45880
ENST00000252699	ACTN4	O43707
ENST00000616600	HDGFL2	Q7Z4V5
ENST00000339562	NR4A2	P43354
ENST00000390649	NLRP5	P59047
ENST00000380122	TXLNG	Q9NUQ3
ENST00000343131	SYCE1	Q8N0S2
ENST00000398146	RGPD2	P0DJD1
ENST00000382835	KRTAP27-1	Q3LI81
ENST00000403681	HMGA2	P52926
ENST00000295124	CCDC138	Q96M89
ENST00000423484	ZNF736	B4DX44
ENST00000359044	ZNF574	Q6ZN55
ENST00000256441	MRPS36	P82909
ENST00000256593	GSTM5	P46439
ENST00000540857	PLAAT5	Q96KN8
ENST00000261353	YPEL5	P62699
ENST00000263025	MAPK3	P27361
ENST00000249499	HOXD9	P28356
ENST00000318579	MEOX1	P50221
ENST00000674182	SLFN14	P0C7P3
ENST00000380191	GDI2	P50395
ENST00000388923	C6orf163	Q5TEZ5
ENST00000370803	PHF6	Q8IWS0
ENST00000389176	CCDC154	A6NI56
ENST00000258930	CIB2	O75838
ENST00000265562	PTPN23	Q9H3S7
ENST00000394963	SMARCD1	Q96GM5
ENST00000559471	SECISBP2L	Q93073
ENST00000334571	COQ6	Q9Y2Z9
ENST00000617704	TRIM64C	A6NLI5
ENST00000408999	RGPD4	Q7Z3J3
ENST00000301547	ZNF443	Q9Y2A4
ENST00000228682	GLI1	P08151
ENST00000458591	SCFD1	Q8WVM8
ENST00000360128	MAK16	Q9BXY0
ENST00000236979	TNP1	P09430
ENST00000300145	ATP23	Q9Y6H3
ENST00000240316	COIL	P38432
ENST00000412997	SGO1	Q5FBB7
ENST00000311528	RPL13	P26373
ENST00000382659	RBMY1E	A6NEQ0
ENST00000415669	SAPCD1	Q5SSQ6
ENST00000277632	MINDY3	Q9H8M7
ENST00000335420	KLHDC10	Q6PID8
ENST00000382533	SAP18	O00422
ENST00000366672	GALNT2	Q10471
ENST00000648566	BCL10	O95999
ENST00000273853	CENPC	Q03188
ENST00000373358	PBDC1	Q9BVG4
ENST00000293255	CABP5	Q9NP86
ENST00000491306	RPL37A	P61513
ENST00000338863	TEAD3	Q99594
ENST00000641976	SCYGR5	A0A286YF46
ENST00000369694	SNAP91	O60641
ENST00000696633	POU5F1B	Q06416
ENST00000391701	ZNF552	Q9H707
ENST00000555055	XRCC3	O43542
ENST00000204549	PDCD7	Q8N8D1
ENST00000296921	TLX3	O43711
ENST00000308197	COQ10A	Q96MF6
ENST00000262103	CLXN	Q9HAE3
ENST00000369980	IRAK1	P51617
ENST00000240731	ZNF211	Q13398
ENST00000396354	NDE1	Q9NXR1
ENST00000410096	ERMN	Q8TAM6
ENST00000380525	CARS1	P49589
ENST00000438015	CHEK1	O14757
ENST00000442966	RPP21	Q9H633
ENST00000345496	UBE2G2	P60604
ENST00000370388	KHDC1L	Q5JSQ8
ENST00000316491	KRBOX5	Q7Z2F6
ENST00000305626	RAB33B	Q9H082
ENST00000403906	ZNF610	Q8N9Z0
ENST00000445930	PSMC6	P62333
ENST00000371388	RHOXF2	Q9BQY4
ENST00000329446	C10orf120	Q5SQS8
ENST00000374222	UBXN11	Q5T124
ENST00000684792	MOBP	Q13875
ENST00000561421	FAH	P16930
ENST00000354185	DDX21	Q9NR30
ENST00000394688	BRD7	Q9NPI1
ENST00000243776	CHPF	Q8IZ52
ENST00000368010	PFDN2	Q9UHV9
ENST00000309851	GSTM1	P09488
ENST00000263080	ASPA	P45381
ENST00000317905	RECQL5	O94762
ENST00000360816	FAM217B	Q9NTX9
ENST00000674895	HLCS	P50747
ENST00000375799	PLEKHM2	Q8IWE5
ENST00000337080	ZNF444	Q8N0Y2
ENST00000292586	MRNIP	Q6NTE8
ENST00000296577	ABCE1	P61221
ENST00000266987	TARBP2	Q15633
ENST00000392379	BDH1	Q02338
ENST00000682281	GTDC1	Q4AE62
ENST00000268668	NDUFB10	O96000
ENST00000357266	FKBP5	Q13451
ENST00000331090	REC114	Q7Z4M0
ENST00000396077	ZNF445	P59923
ENST00000572914	CRYM	Q14894
ENST00000293441	SHANK1	Q9Y566
ENST00000367763	GORAB	Q5T7V8
ENST00000433985	IFT27	Q9BW83
ENST00000306721	CDCA7	Q9BWT1
ENST00000359358	KLHL14	Q9P2G3
ENST00000683345	TBCEL	Q5QJ74
ENST00000326441	PEG3	Q9GZU2
ENST00000409914	POTEF	A5A3E0
ENST00000536324	SP7	Q8TDD2
ENST00000317869	HNRNPCL1	O60812
ENST00000618550	PRR36	Q9H6K5
ENST00000498273	L1TD1	Q5T7N2
ENST00000521374	HSF4	Q9ULV5
ENST00000368525	CFAP141	Q5VU69
ENST00000398186	EFCAB9	A8MZ26
ENST00000335783	CENPQ	Q7L2Z9
ENST00000432648	AKIRIN1	Q9H9L7
ENST00000249299	LSM8	O95777
ENST00000348417	IFT122	Q9HBG6
ENST00000320316	PHF23	Q9BUL5
ENST00000304081	NT5C1B	Q96P26
ENST00000336755	ZCCHC7	Q8N3Z6
ENST00000300605	HDHD2	Q9H0R4
ENST00000309048	CENPS	Q8N2Z9
ENST00000372050	RALGDS	Q12967
ENST00000322611	BASP1	P80723
ENST00000369151	CACUL1	Q86Y37
ENST00000330020	ZNF722	A0A1W2PQL4
ENST00000580243	TSHZ1	Q6ZSZ6
ENST00000261811	CYSTM1	Q9H1C7
ENST00000318249	NBPF3	Q9H094
ENST00000640283	PERCC1	A0A1W2PR82
ENST00000377698	ALDH1B1	P30837
ENST00000333141	DCAF4L1	Q3SXM0
ENST00000380834	CENPO	Q9BU64
ENST00000361580	KIFAP3	Q92845
ENST00000645694	SIX1	Q15475
ENST00000371614	KTI12	Q96EK9
ENST00000331835	SELENOF	O60613
ENST00000311922	TRIB1	Q96RU8
ENST00000356056	MYO9A	B2RTY4
ENST00000283025	TEKT5	Q96M29
ENST00000370370	DPPA5	A6NC42
ENST00000303151	POP7	O75817
ENST00000349033	TEX14	Q8IWB6
ENST00000396912	RBAK	Q9NYW8
ENST00000382407	CDY1B	Q9Y6F8
ENST00000282141	CRYGC	P07315
ENST00000422285	PDHA1	P08559
ENST00000328879	KLHL22	Q53GT1
ENST00000371980	LURAP1	Q96LR2
ENST00000307751	LGALS4	P56470
ENST00000320027	HSPH1	Q92598
ENST00000255476	RFXAP	O00287
ENST00000369068	RPRD2	Q5VT52
ENST00000287844	ABCF2	Q9UG63
ENST00000374466	CSGALNACT2	Q8N6G5
ENST00000352480	ASS1	P00966
ENST00000307741	THOP1	P52888
ENST00000288422	TAB3	Q8N5C8
ENST00000264515	RBBP5	Q15291
ENST00000366641	EGLN1	Q9GZT9
ENST00000242784	TRIR	Q9BQ61
ENST00000371941	PREX1	Q8TCU6
ENST00000410022	NFU1	Q9UMS0
ENST00000405655	PRAME	P78395
ENST00000256925	CABLES1	Q8TDN4
ENST00000302917	TEX13B	Q9BXU2
ENST00000243103	HOXC12	P31275
ENST00000360187	ZNF605	Q86T29
ENST00000336023	TUBA1B	P68363
ENST00000312358	SPEG	Q15772
ENST00000276420	DOK2	O60496
ENST00000616052	SERPINA2	P20848
ENST00000373433	RPRD1B	Q9NQG5
ENST00000359276	CTPS2	Q9NRF8
ENST00000304031	HS1BP3	Q53T59
ENST00000603928	BRD3OS	A0A1B0GUI7
ENST00000681687	PCBP3	P57721
ENST00000356815	HBM	Q6B0K9
ENST00000392882	WARS1	P23381
ENST00000301659	GSDMA	Q96QA5
ENST00000326317	SGSH	P51688
ENST00000451311	TMSB4X	P62328
ENST00000366711	IBA57	Q5T440
ENST00000442488	FEZF1	A0PJY2
ENST00000652272	NELFCD	Q8IXH7
ENST00000526355	GUCY1A2	P33402
ENST00000234626	CDC7	O00311
ENST00000319359	ELL3	Q9HB65
ENST00000589230	HEXIM2	Q96MH2
ENST00000269025	LRRC46	Q96FV0
ENST00000216392	PYGL	P06737
ENST00000587086	MISP3	Q96FF7
ENST00000326282	EID2B	Q96D98
ENST00000258947	CALCOCO2	Q13137
ENST00000371068	EFHC1	Q5JVL4
ENST00000376734	TRIM31	Q9BZY9
ENST00000569714	RNF151	Q2KHN1
ENST00000312719	HS3ST5	Q8IZT8
ENST00000234396	ATP6V1B1	P15313
ENST00000569691	PIERCE2	H3BRN8
ENST00000369103	RGS10	O43665
ENST00000231524	TRIM23	P36406
ENST00000397149	SMU1	Q2TAY7
ENST00000308388	GMPPB	Q9Y5P6
ENST00000451882	HSBP1L1	C9JCN9
ENST00000396394	PSMA1	P25786
ENST00000315491	TUBB3	Q13509
ENST00000338034	ELAC2	Q9BQ52
ENST00000269305	TP53	P04637
ENST00000344138	GRAP2	O75791
ENST00000417550	ZNF250	P15622
ENST00000448843	ALOXE3	Q9BYJ1
ENST00000618455	GOLGA6L26	P0DX02
ENST00000562505	LY6L	H3BQJ8
ENST00000357500	POP5	Q969H6
ENST00000304771	MAP6	Q96JE9
ENST00000319928	MOB3C	Q70IA8
ENST00000389032	STK38L	Q9Y2H1
ENST00000161863	YTHDC2	Q9H6S0
ENST00000430334	PLEKHM1	Q9Y4G2
ENST00000351870	MTERF1	Q99551
ENST00000250457	EGLN3	Q9H6Z9
ENST00000367669	COP1	Q8NHY2
ENST00000261195	GYS2	P54840
ENST00000639673	TRIM43B	A6NCK2
ENST00000447467	DYNC1I1	O14576
ENST00000377687	KLF5	Q13887
ENST00000407426	WDR43	Q15061
ENST00000265016	BST1	Q10588
ENST00000270176	SCYL1	Q96KG9
ENST00000324685	RNF40	O75150
ENST00000439461	ZNF766	Q5HY98
ENST00000380419	TUBAL3	A6NHL2
