Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000121743	ENST00000241125	Q9Y6H8	GJA3
ENSG00000121742	ENST00000647029	O95452	GJB6
ENSG00000054793	ENST00000338821	O75110	ATP9A
ENSG00000100359	ENST00000248929	Q96HU1	SGSM3
ENSG00000089101	ENST00000245957	Q8NHU2	CFAP61
ENSG00000101194	ENST00000370351	Q9BYT1	SLC17A9
ENSG00000133105	ENST00000298386	Q8WXD0	RXFP2
ENSG00000126773	ENST00000406854	Q63HM2	PCNX4
ENSG00000078043	ENST00000585916	O75928	PIAS2
ENSG00000124215	ENST00000348616	Q8IXH8	CDH26
ENSG00000104044	ENST00000354638	Q04671	OCA2
ENSG00000134049	ENST00000256433	Q9Y5U9	IER3IP1
ENSG00000100335	ENST00000325301	Q9NQG6	MIEF1
ENSG00000134757	ENST00000257189	P32926	DSG3
ENSG00000125245	ENST00000397470	Q14330	GPR18
ENSG00000038945	ENST00000262101	P21757	MSR1
ENSG00000099968	ENST00000317582	Q9BXK5	BCL2L13
ENSG00000100731	ENST00000304743	Q96RV3	PCNX1
ENSG00000124225	ENST00000341744	Q969W9	PMEPA1
ENSG00000132932	ENST00000381655	Q9NTI2	ATP8A2
ENSG00000153495	ENST00000283547	Q8N6K0	TEX29
ENSG00000109667	ENST00000264784	Q9NRM0	SLC2A9
ENSG00000154930	ENST00000323482	Q9NUB1	ACSS1
ENSG00000138613	ENST00000261879	Q8WW43	APH1B
ENSG00000050130	ENST00000616435	Q9P055	JKAMP
ENSG00000104660	ENST00000321250	O95214	LEPROTL1
ENSG00000120907	ENST00000380573	P35348	ADRA1A
ENSG00000012174	ENST00000379484	O43462	MBTPS2
ENSG00000125255	ENST00000245312	Q12908	SLC10A2
ENSG00000140015	ENST00000322893	Q8NCM2	KCNH5
ENSG00000104219	ENST00000262096	Q9UIJ5	ZDHHC2
ENSG00000068650	ENST00000375645	P98196	ATP11A
ENSG00000100647	ENST00000342745	Q92537	SUSD6
ENSG00000104765	ENST00000380629	O60238	BNIP3L
ENSG00000152207	ENST00000682523	Q9NS75	CYSLTR2
ENSG00000075240	ENST00000406902	Q6IC98	GRAMD4
ENSG00000077943	ENST00000378076	P53708	ITGA8
ENSG00000136114	ENST00000258613	Q9NS62	THSD1
ENSG00000148482	ENST00000377369	Q504Y0	SLC39A12
ENSG00000152990	ENST00000334304	Q8IWK6	ADGRA3
ENSG00000155269	ENST00000382487	Q96P69	GPR78
ENSG00000109680	ENST00000264866	Q8N5T2	TBC1D19
ENSG00000125246	ENST00000339105	Q8N0X4	CLYBL
ENSG00000136770	ENST00000376980	Q96KC8	DNAJC1
ENSG00000137054	ENST00000377798	Q9GZS1	POLR1E
ENSG00000069535	ENST00000378069	P27338	MAOB
ENSG00000074410	ENST00000178638	O43570	CA12
ENSG00000003147	ENST00000402384	Q05084	ICA1
ENSG00000131634	ENST00000566264	Q9BSN7	TMEM204
ENSG00000033170	ENST00000673929	Q9BYC5	FUT8
ENSG00000107165	ENST00000388918	P17643	TYRP1
ENSG00000131080	ENST00000374719	Q9HAV5	EDA2R
ENSG00000142185	ENST00000397928	O94759	TRPM2
ENSG00000091490	ENST00000399878	Q68CR1	SEL1L3
ENSG00000080839	ENST00000373664	P28749	RBL1
ENSG00000137809	ENST00000315757	Q9UKX5	ITGA11
ENSG00000120594	ENST00000377252	Q6UX71	PLXDC2
ENSG00000147100	ENST00000587091	P36021	SLC16A2
ENSG00000120697	ENST00000239891	Q9Y673	ALG5
ENSG00000074696	ENST00000261875	Q9P035	HACD3
ENSG00000089486	ENST00000567695	Q9H305	CDIP1
ENSG00000124802	ENST00000379715	O43324	EEF1E1
ENSG00000133872	ENST00000256255	Q96BY9	SARAF
ENSG00000136891	ENST00000374902	Q9NXF1	TEX10
ENSG00000099904	ENST00000334554	Q9ULC8	ZDHHC8
ENSG00000133874	ENST00000256257	Q9H9V4	RNF122
ENSG00000095209	ENST00000374692	Q9NVV0	TMEM38B
ENSG00000145244	ENST00000273857	Q9Y5Q5	CORIN
ENSG00000103534	ENST00000542583	Q6UXY8	TMC5
ENSG00000131669	ENST00000375446	Q92982	NINJ1
ENSG00000150403	ENST00000434316	Q6UWJ1	TMCO3
ENSG00000139921	ENST00000457354	Q9H3N1	TMX1
ENSG00000141934	ENST00000434325	O43688	PLPP2
ENSG00000151320	ENST00000280979	Q13023	AKAP6
ENSG00000064687	ENST00000263094	Q8IZY2	ABCA7
ENSG00000139874	ENST00000267377	P30872	SSTR1
ENSG00000152954	ENST00000378491	Q8IZ57	NRSN1
ENSG00000130037	ENST00000252321	P22460	KCNA5
ENSG00000134419	ENST00000322989	P62244	RPS15A
ENSG00000139971	ENST00000267485	Q86TY3	ARMH4
ENSG00000119720	ENST00000354366	Q9H7Z3	NRDE2
ENSG00000132958	ENST00000697147	Q6XPS3	TPTE2
ENSG00000132824	ENST00000342374	Q13530	SERINC3
ENSG00000081923	ENST00000648908	O43520	ATP8B1
ENSG00000139508	ENST00000266943	Q7Z3Q1	SLC46A3
ENSG00000124783	ENST00000244763	P43307	SSR1
ENSG00000116032	ENST00000234389	O60391	GRIN3B
ENSG00000040608	ENST00000043402	Q9BZR6	RTN4R
ENSG00000109181	ENST00000265403	P36537	UGT2B10
ENSG00000145996	ENST00000274695	Q5VV42	CDKAL1
ENSG00000149596	ENST00000372980	Q9BR39	JPH2
ENSG00000150048	ENST00000315330	Q8NC01	CLEC1A
ENSG00000067141	ENST00000261908	Q92859	NEO1
ENSG00000070018	ENST00000261349	O75581	LRP6
ENSG00000101307	ENST00000381605	O00241	SIRPB1
ENSG00000125910	ENST00000246115	O95977	S1PR4
ENSG00000125912	ENST00000246117	Q969V3	NCLN
ENSG00000142188	ENST00000542230	P56557	TMEM50B
ENSG00000071189	ENST00000428135	Q9Y5W8	SNX13
ENSG00000125384	ENST00000245457	P43116	PTGER2
ENSG00000101638	ENST00000315087	O15466	ST8SIA5
ENSG00000104331	ENST00000262644	Q9NX62	BPNT2
ENSG00000075673	ENST00000381946	P54707	ATP12A
ENSG00000138119	ENST00000359263	Q9NZM1	MYOF
ENSG00000047597	ENST00000378616	P51811	XK
ENSG00000145284	ENST00000319540	Q86SK9	SCD5
ENSG00000073150	ENST00000395842	Q96RD6	PANX2
ENSG00000134539	ENST00000336164	Q13241	KLRD1
ENSG00000148123	ENST00000374874	Q8TBJ4	PLPPR1
ENSG00000140505	ENST00000343932	P05177	CYP1A2
ENSG00000140284	ENST00000267842	O14975	SLC27A2
ENSG00000095932	ENST00000215531	O75264	SMIM24
ENSG00000101198	ENST00000370316	Q8IVV8	NKAIN4
ENSG00000105428	ENST00000222033	Q8WWF5	ZNRF4
ENSG00000138622	ENST00000261917	Q9Y3Q4	HCN4
ENSG00000105855	ENST00000222573	P26012	ITGB8
ENSG00000147160	ENST00000276101	Q6E213	AWAT2
ENSG00000066455	ENST00000163416	Q8TBA6	GOLGA5
ENSG00000070269	ENST00000261556	Q9NX78	TMEM260
ENSG00000154856	ENST00000355285	Q8J025	APCDD1
ENSG00000151490	ENST00000281171	Q16827	PTPRO
ENSG00000145246	ENST00000273859	Q9P241	ATP10D
ENSG00000078589	ENST00000171757	O00398	P2RY10
ENSG00000122679	ENST00000242249	O60896	RAMP3
ENSG00000106415	ENST00000223145	Q86VQ1	GLCCI1
ENSG00000090776	ENST00000204961	P98172	EFNB1
ENSG00000054983	ENST00000261304	P54803	GALC
ENSG00000110328	ENST00000227756	Q6P9A2	GALNT18
ENSG00000147613	ENST00000276616	Q96QS6	PSKH2
ENSG00000119537	ENST00000645214	Q06136	KDSR
ENSG00000074755	ENST00000381638	O43149	ZZEF1
ENSG00000101204	ENST00000370263	P43681	CHRNA4
ENSG00000144668	ENST00000264741	Q13797	ITGA9
ENSG00000100739	ENST00000216629	P46663	BDKRB1
ENSG00000104321	ENST00000262209	O75762	TRPA1
ENSG00000134343	ENST00000256737	Q9BYT9	ANO3
ENSG00000079112	ENST00000027335	Q12864	CDH17
ENSG00000101000	ENST00000216968	Q9UNN8	PROCR
ENSG00000108405	ENST00000225538	P51575	P2RX1
ENSG00000100292	ENST00000216117	P09601	HMOX1
ENSG00000078596	ENST00000373298	O43736	ITM2A
ENSG00000065308	ENST00000182527	Q15035	TRAM2
ENSG00000074370	ENST00000397041	Q93084	ATP2A3
ENSG00000112149	ENST00000379153	Q01151	CD83
ENSG00000100191	ENST00000266086	Q9NY91	SLC5A4
ENSG00000012660	ENST00000304434	Q9NYP7	ELOVL5
ENSG00000138678	ENST00000264409	Q53EU6	GPAT3
ENSG00000148175	ENST00000286713	P27105	STOM
ENSG00000147649	ENST00000336273	Q86UE4	MTDH
ENSG00000145354	ENST00000273986	Q8N5K1	CISD2
ENSG00000091317	ENST00000205636	Q9NX76	CMTM6
ENSG00000102471	ENST00000218652	Q9NV92	NDFIP2
ENSG00000124194	ENST00000342560	Q96MZ0	GDAP1L1
ENSG00000102239	ENST00000370648	P32247	BRS3
ENSG00000111261	ENST00000535902	Q9H8J5	MANSC1
ENSG00000137571	ENST00000260126	Q9H2Y9	SLCO5A1
ENSG00000134762	ENST00000360428	Q14574	DSC3
ENSG00000119714	ENST00000650645	Q15743	GPR68
ENSG00000134765	ENST00000257198	Q08554	DSC1
ENSG00000152315	ENST00000282146	Q9HB14	KCNK13
ENSG00000142494	ENST00000270570	Q96FL8	SLC47A1
ENSG00000134760	ENST00000257192	Q02413	DSG1
ENSG00000129636	ENST00000320640	Q8TB96	ITFG1
ENSG00000102195	ENST00000218316	Q13585	GPR50
ENSG00000067221	ENST00000541638	Q9UBI4	STOML1
ENSG00000060140	ENST00000075503	Q6J9G0	STYK1
ENSG00000147255	ENST00000361420	Q8N6C5	IGSF1
ENSG00000131055	ENST00000376075	Q96KJ9	COX4I2
ENSG00000102900	ENST00000308159	Q8N1F7	NUP93
ENSG00000133027	ENST00000255389	Q9UBM1	PEMT
ENSG00000134115	ENST00000446702	Q9UQ52	CNTN6
ENSG00000150394	ENST00000577390	P55286	CDH8
ENSG00000126777	ENST00000395314	Q86UP2	KTN1
ENSG00000104043	ENST00000284509	Q8TF62	ATP8B4
ENSG00000108582	ENST00000225719	O75976	CPD
ENSG00000008394	ENST00000396210	P10620	MGST1
ENSG00000138780	ENST00000515279	Q8NEC7	GSTCD
ENSG00000104361	ENST00000430223	Q9H841	NIPAL2
ENSG00000148468	ENST00000378116	Q5VUB5	FAM171A1
ENSG00000103742	ENST00000352385	Q8TDY8	IGDCC4
ENSG00000110975	ENST00000228567	Q6XYQ8	SYT10
ENSG00000125869	ENST00000246070	Q9UJQ1	LAMP5
ENSG00000112218	ENST00000229955	Q9BZJ6	GPR63
ENSG00000146233	ENST00000275016	Q9NYL5	CYP39A1
ENSG00000140506	ENST00000309664	Q9HAT1	LMAN1L
ENSG00000133135	ENST00000255499	Q8TEB7	RNF128
ENSG00000101298	ENST00000381867	O15079	SNPH
ENSG00000052749	ENST00000370992	Q5JTH9	RRP12
ENSG00000123124	ENST00000517970	Q9H0M0	WWP1
ENSG00000142166	ENST00000270139	P17181	IFNAR1
ENSG00000100263	ENST00000216085	Q9Y3P4	RHBDD3
ENSG00000080644	ENST00000326828	P32297	CHRNA3
ENSG00000088832	ENST00000400137	P62942	FKBP1A
ENSG00000086205	ENST00000256999	Q04609	FOLH1
ENSG00000006007	ENST00000353258	Q9NZC3	GDE1
ENSG00000115705	ENST00000329066	P07202	TPO
ENSG00000133740	ENST00000416274	Q15329	E2F5
ENSG00000088836	ENST00000642402	Q8NBS3	SLC4A11
ENSG00000137824	ENST00000338376	Q96TC7	RMDN3
ENSG00000135220	ENST00000251566	Q6UWM9	UGT2A3
ENSG00000123496	ENST00000243213	Q14627	IL13RA2
ENSG00000112796	ENST00000371383	Q9UJA9	ENPP5
ENSG00000152034	ENST00000281806	Q969V1	MCHR2
ENSG00000100314	ENST00000216144	Q86V35	CABP7
ENSG00000104341	ENST00000521545	Q86VI4	LAPTM4B
ENSG00000147432	ENST00000289957	Q05901	CHRNB3
ENSG00000129562	ENST00000250498	P61803	DAD1
ENSG00000127507	ENST00000315576	Q9UHX3	ADGRE2
ENSG00000102383	ENST00000373367	Q96MV8	ZDHHC15
ENSG00000101417	ENST00000409299	Q9Y6I8	PXMP4
ENSG00000087253	ENST00000262134	Q7L5N7	LPCAT2
ENSG00000140497	ENST00000268099	O15127	SCAMP2
ENSG00000139209	ENST00000266579	Q969I6	SLC38A4
ENSG00000103089	ENST00000219368	Q7L5A8	FA2H
ENSG00000099999	ENST00000382363	Q9Y6U7	RNF215
ENSG00000118402	ENST00000369816	Q9GZR5	ELOVL4
ENSG00000079950	ENST00000367941	O15400	STX7
ENSG00000101290	ENST00000460006	O95674	CDS2
ENSG00000146410	ENST00000420702	Q6P444	MTFR2
ENSG00000142655	ENST00000356607	O75381	PEX14
ENSG00000136160	ENST00000646607	P24530	EDNRB
ENSG00000101292	ENST00000678254	Q8NFJ6	PROKR2
ENSG00000001561	ENST00000321037	Q9Y6X5	ENPP4
ENSG00000153989	ENST00000368494	Q96E22	NUS1
ENSG00000151353	ENST00000281017	Q96B42	TMEM18
ENSG00000103047	ENST00000261778	Q9C0B7	TANGO6
ENSG00000152910	ENST00000611870	Q9C0A0	CNTNAP4
ENSG00000139173	ENST00000266534	Q9H0C3	TMEM117
ENSG00000142583	ENST00000377424	P22732	SLC2A5
ENSG00000127529	ENST00000248072	O60412	OR7C2
ENSG00000151229	ENST00000280871	Q96QE2	SLC2A13
ENSG00000148344	ENST00000340607	O14684	PTGES
ENSG00000111371	ENST00000398637	Q9H2H9	SLC38A1
ENSG00000154978	ENST00000285279	Q96AW1	VOPP1
ENSG00000148841	ENST00000337478	Q8IWB1	ITPRIP
ENSG00000105829	ENST00000222547	O15155	BET1
ENSG00000123179	ENST00000242827	Q9BY08	EBPL
ENSG00000136099	ENST00000377942	O95206	PCDH8
ENSG00000105135	ENST00000263383	A1L0T0	ILVBL
ENSG00000124333	ENST00000286448	P51809	VAMP7
ENSG00000102076	ENST00000369951	P04000	OPN1LW
ENSG00000112276	ENST00000314641	Q8NE79	BVES
ENSG00000136856	ENST00000373371	Q9NY64	SLC2A8
ENSG00000144724	ENST00000474889	P23470	PTPRG
ENSG00000152270	ENST00000282096	Q13370	PDE3B
ENSG00000130827	ENST00000369682	P51805	PLXNA3
ENSG00000099958	ENST00000318109	Q96Q80	DERL3
ENSG00000119973	ENST00000239032	P49683	PRLHR
ENSG00000099994	ENST00000358321	Q9UGT4	SUSD2
ENSG00000134294	ENST00000256689	Q96QD8	SLC38A2
ENSG00000126903	ENST00000651600	P09131	SLC10A3
ENSG00000148948	ENST00000528697	Q9HCJ2	LRRC4C
ENSG00000011347	ENST00000539008	O43581	SYT7
ENSG00000100216	ENST00000216034	Q9NS69	TOMM22
ENSG00000100427	ENST00000311597	Q15049	MLC1
ENSG00000068001	ENST00000357750	Q12891	HYAL2
ENSG00000148942	ENST00000396005	Q1EHB4	SLC5A12
ENSG00000147570	ENST00000276570	Q9UF47	DNAJC5B
ENSG00000117971	ENST00000261751	P30926	CHRNB4
ENSG00000124780	ENST00000373231	Q96T54	KCNK17
ENSG00000118961	ENST00000237822	Q9H6V9	LDAH
ENSG00000112339	ENST00000367837	Q9Y450	HBS1L
ENSG00000082397	ENST00000341928	Q9Y2J2	EPB41L3
ENSG00000125304	ENST00000376387	Q99805	TM9SF2
ENSG00000154118	ENST00000284262	Q8WXH2	JPH3
ENSG00000140937	ENST00000268603	P55287	CDH11
ENSG00000131697	ENST00000378156	O75161	NPHP4
ENSG00000132432	ENST00000352861	P60059	SEC61G
ENSG00000133083	ENST00000360631	O15075	DCLK1
ENSG00000034693	ENST00000367591	P56589	PEX3
ENSG00000102743	ENST00000338625	Q9Y619	SLC25A15
ENSG00000151778	ENST00000379179	Q8N6R1	SERP2
ENSG00000075336	ENST00000169551	Q9BVV7	TIMM21
ENSG00000080166	ENST00000377028	P40126	DCT
ENSG00000128310	ENST00000249041	O60755	GALR3
ENSG00000103257	ENST00000261622	Q01650	SLC7A5
ENSG00000100129	ENST00000652021	Q9Y262	EIF3L
ENSG00000090020	ENST00000263980	P19634	SLC9A1
ENSG00000134769	ENST00000444659	Q9Y4J8	DTNA
ENSG00000118596	ENST00000547379	O60669	SLC16A7
ENSG00000152749	ENST00000376958	Q86V85	GPR180
ENSG00000005059	ENST00000394650	Q9NWR8	MCUB
ENSG00000125257	ENST00000645237	O15439	ABCC4
ENSG00000153485	ENST00000415050	Q8N6I4	LYSET
ENSG00000109182	ENST00000226432	Q9H720	CWH43
ENSG00000044524	ENST00000336596	P29320	EPHA3
ENSG00000064545	ENST00000162044	Q9NX61	TMEM161A
ENSG00000130054	ENST00000252338	O75949	NALF2
ENSG00000103335	ENST00000301015	Q92508	PIEZO1
ENSG00000036054	ENST00000394144	Q9NUY8	TBC1D23
ENSG00000138039	ENST00000294954	P22888	LHCGR
ENSG00000108576	ENST00000650711	P31645	SLC6A4
ENSG00000134873	ENST00000299339	P78369	CLDN10
ENSG00000142627	ENST00000358432	P29317	EPHA2
ENSG00000154174	ENST00000284320	O94826	TOMM70
ENSG00000077147	ENST00000371142	Q9HD45	TM9SF3
ENSG00000139626	ENST00000267082	P26010	ITGB7
ENSG00000112414	ENST00000367609	Q86SQ4	ADGRG6
ENSG00000109158	ENST00000264318	P48169	GABRA4
ENSG00000106384	ENST00000223114	Q86VF5	MOGAT3
ENSG00000139656	ENST00000400419	Q9BVW6	SMIM2
ENSG00000151012	ENST00000280612	Q9UPY5	SLC7A11
ENSG00000115421	ENST00000238714	Q9BWT3	PAPOLG
ENSG00000139291	ENST00000266673	Q96HH6	TMEM19
ENSG00000134853	ENST00000257290	P16234	PDGFRA
ENSG00000126353	ENST00000246657	P32248	CCR7
ENSG00000060656	ENST00000373779	Q92729	PTPRU
ENSG00000111058	ENST00000548058	Q9H6R3	ACSS3
ENSG00000131482	ENST00000253801	P35575	G6PC1
ENSG00000079931	ENST00000367963	Q6UVY6	MOXD1
ENSG00000131748	ENST00000336308	Q14849	STARD3
ENSG00000145283	ENST00000273905	Q3KNW5	SLC10A6
ENSG00000121039	ENST00000240285	Q8IZV5	RDH10
ENSG00000139644	ENST00000267115	P55061	TMBIM6
ENSG00000100528	ENST00000216416	O95406	CNIH1
ENSG00000123191	ENST00000242839	P35670	ATP7B
ENSG00000077498	ENST00000263321	P14679	TYR
ENSG00000034677	ENST00000341084	Q9NV58	RNF19A
ENSG00000127564	ENST00000262300	Q99640	PKMYT1
ENSG00000131174	ENST00000650309	P24311	COX7B
ENSG00000107175	ENST00000353704	O43889	CREB3
ENSG00000122490	ENST00000397778	Q8N2U9	SLC66A2
ENSG00000077616	ENST00000534061	Q9Y3Q0	NAALAD2
ENSG00000137845	ENST00000260408	O14672	ADAM10
ENSG00000101187	ENST00000217159	Q96BD0	SLCO4A1
ENSG00000138079	ENST00000260649	Q07837	SLC3A1
ENSG00000101188	ENST00000370501	P30989	NTSR1
ENSG00000147155	ENST00000495186	Q15125	EBP
ENSG00000086991	ENST00000263317	Q9NPH5	NOX4
ENSG00000100258	ENST00000474879	Q9BU23	LMF2
ENSG00000127325	ENST00000330891	Q8N1M1	BEST3
ENSG00000073464	ENST00000380833	P51793	CLCN4
ENSG00000147676	ENST00000614891	Q969L2	MAL2
ENSG00000140443	ENST00000650285	P08069	IGF1R
ENSG00000113845	ENST00000494664	Q9NPL8	TIMMDC1
ENSG00000138650	ENST00000264360	Q9P2E7	PCDH10
ENSG00000146383	ENST00000275198	Q96RI8	TAAR6
ENSG00000111885	ENST00000368468	P33908	MAN1A1
ENSG00000130653	ENST00000406427	Q6ZV29	PNPLA7
ENSG00000141429	ENST00000269195	Q10472	GALNT1
ENSG00000125843	ENST00000615891	Q9NUS5	AP5S1
ENSG00000088888	ENST00000428216	Q7Z434	MAVS
ENSG00000115944	ENST00000234301	O14548	COX7A2L
ENSG00000153233	ENST00000283228	Q15256	PTPRR
ENSG00000121594	ENST00000264246	P33681	CD80
ENSG00000101986	ENST00000218104	P33897	ABCD1
ENSG00000042429	ENST00000251871	Q9NVC6	MED17
ENSG00000108846	ENST00000285238	O15438	ABCC3
ENSG00000154478	ENST00000284674	Q8NDV2	GPR26
ENSG00000107518	ENST00000355044	Q5VV63	ATRNL1
ENSG00000146409	ENST00000275227	Q6NT16	SLC18B1
ENSG00000146072	ENST00000296861	O75509	TNFRSF21
ENSG00000144847	ENST00000393775	Q5DX21	IGSF11
ENSG00000125875	ENST00000354200	Q96BZ9	TBC1D20
ENSG00000153551	ENST00000334983	Q96FZ5	CMTM7
ENSG00000146378	ENST00000367931	Q9P1P5	TAAR2
ENSG00000132429	ENST00000254765	Q9HBV1	POPDC3
ENSG00000111817	ENST00000644252	Q9UL01	DSE
ENSG00000110660	ENST00000525815	Q8IXU6	SLC35F2
ENSG00000054967	ENST00000064780	Q969Z4	RELT
ENSG00000135185	ENST00000257637	Q9BU79	TMEM243
ENSG00000115363	ENST00000393913	Q9H8M9	EVA1A
ENSG00000079134	ENST00000261600	Q96FV9	THOC1
ENSG00000112378	ENST00000421351	Q96FX8	PERP
ENSG00000137672	ENST00000344327	Q9Y210	TRPC6
ENSG00000111962	ENST00000367463	Q9Y2C2	UST
ENSG00000154529	ENST00000377561	Q96NU0	CNTNAP3B
ENSG00000067167	ENST00000262213	Q15629	TRAM1
ENSG00000074621	ENST00000261892	O60721	SLC24A1
ENSG00000135218	ENST00000447544	P16671	CD36
ENSG00000151025	ENST00000376351	Q5T848	GPR158
ENSG00000114638	ENST00000264234	O75841	UPK1B
ENSG00000130821	ENST00000253122	P48029	SLC6A8
ENSG00000128335	ENST00000358502	Q9BQE5	APOL2
ENSG00000112038	ENST00000330432	P35372	OPRM1
ENSG00000147224	ENST00000372435	P60891	PRPS1
ENSG00000103415	ENST00000570646	P30519	HMOX2
ENSG00000050438	ENST00000453097	Q2Y0W8	SLC4A8
ENSG00000100368	ENST00000403662	P32927	CSF2RB
ENSG00000106868	ENST00000374270	Q6UWL2	SUSD1
ENSG00000138459	ENST00000492406	Q9BS91	SLC35A5
ENSG00000101276	ENST00000645534	Q9NQ40	SLC52A3
ENSG00000145103	ENST00000344209	Q86SU0	ILDR1
ENSG00000110675	ENST00000265840	Q8N336	ELMOD1
ENSG00000102007	ENST00000376327	Q04941	PLP2
ENSG00000136986	ENST00000259512	Q9BUN8	DERL1
ENSG00000102001	ENST00000323022	O60840	CACNA1F
ENSG00000145451	ENST00000274093	O75311	GLRA3
ENSG00000146802	ENST00000312814	Q9H0V1	TMEM168
ENSG00000133460	ENST00000316185	Q9BYW1	SLC2A11
ENSG00000124098	ENST00000371384	Q96KR6	FAM210B
ENSG00000137872	ENST00000536845	Q8NFY4	SEMA6D
ENSG00000075429	ENST00000533854	Q9UF02	CACNG5
ENSG00000135241	ENST00000257694	Q9NP80	PNPLA8
ENSG00000099377	ENST00000297679	Q9H2F3	HSD3B7
ENSG00000138111	ENST00000238936	Q14CX5	MFSD13A
ENSG00000105767	ENST00000222374	Q8NFZ8	CADM4
ENSG00000099365	ENST00000215095	P61266	STX1B
ENSG00000103496	ENST00000313843	Q12846	STX4
ENSG00000049769	ENST00000055335	Q6ZSY5	PPP1R3F
ENSG00000107281	ENST00000371601	Q9NQX5	NPDC1
ENSG00000011422	ENST00000340093	Q03405	PLAUR
ENSG00000054179	ENST00000355097	Q9Y5L3	ENTPD2
ENSG00000127990	ENST00000648936	O43556	SGCE
ENSG00000116704	ENST00000235345	Q9NTN3	SLC35D1
ENSG00000141385	ENST00000269143	Q9Y4W6	AFG3L2
ENSG00000130962	ENST00000378628	O14668	PRRG1
ENSG00000125266	ENST00000646441	P52799	EFNB2
ENSG00000105771	ENST00000270066	Q9H0W8	SMG9
ENSG00000132965	ENST00000380490	P20292	ALOX5AP
ENSG00000124103	ENST00000371328	Q5JX71	FAM209A
ENSG00000075461	ENST00000262138	Q9UBN1	CACNG4
ENSG00000151572	ENST00000392977	Q32M45	ANO4
ENSG00000115353	ENST00000305249	P25103	TACR1
ENSG00000134830	ENST00000595464	Q9P296	C5AR2
ENSG00000101842	ENST00000217957	Q86XK7	VSIG1
ENSG00000069188	ENST00000392650	Q58EX2	SDK2
