Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000301420	KLK1	P06870
ENST00000372042	CHRDL1	Q9BU40
ENST00000373004	SRPX2	O60687
ENST00000187910	PSG6	Q00889
ENST00000374045	TNFSF15	O95150
ENST00000547058	PRSS58	Q8IYP2
ENST00000319863	GATD1	Q8NB37
ENST00000380911	CER1	O95813
ENST00000380880	FREM1	Q5H8C1
ENST00000222462	WNT16	Q9UBV4
ENST00000295228	INHBB	P09529
ENST00000295666	IGFBP7	Q16270
ENST00000331982	IFNL2	Q8IZJ0
ENST00000593756	FGF21	Q9NSA1
ENST00000220478	SCG3	Q8WXD2
ENST00000359579	AKR1B10	O60218
ENST00000359086	SFTA2	Q6UW10
ENST00000415816	IFI35	P80217
ENST00000259870	C6orf15	Q6UXA7
ENST00000259845	PSORS1C2	Q9UIG4
ENST00000372325	SFTPA2	Q8IWL1
ENST00000328741	NXPH3	O95157
ENST00000301391	CYB5D2	Q8WUJ1
ENST00000498707	ADAMTS9	Q9P2N4
ENST00000398636	SFTPA1	Q8IWL2
ENST00000394149	CSF3	P09919
ENST00000692774	CLUL1	Q15846
ENST00000380548	ADAMTSL1	Q8N6G6
ENST00000399775	ENHO	Q6UWT2
ENST00000272520	C1QL2	Q7Z5L3
ENST00000310123	LGI4	Q8N135
ENST00000259631	CCL27	Q9Y4X3
ENST00000311925	CCL19	Q99731
ENST00000526893	IGLL5	B9A064
ENST00000260702	LOXL4	Q96JB6
ENST00000399429	COL28A1	Q2UY09
ENST00000246891	CSN1S1	P47710
ENST00000246895	STATH	P02808
ENST00000246896	HTN1	P15515
ENST00000280357	IL18	Q14116
ENST00000344526	PRR27	Q6MZM9
ENST00000372080	CEL	P19835
ENST00000361306	EGFL6	Q8IUX8
ENST00000256592	TSHB	P01222
ENST00000673563	HTN3	P15516
ENST00000254801	JCHAIN	P01591
ENST00000276241	CT55	Q8WUE5
ENST00000421673	MUC6	Q6W4X9
ENST00000264563	IL11	P20809
ENST00000389623	SSC5D	A1L4H1
ENST00000312504	VWC2L	B2RUY7
ENST00000343702	NTN4	Q9HB63
ENST00000402217	C22orf15	Q8WYQ4
ENST00000370200	KAZALD1	Q96I82
ENST00000368174	CD5L	O43866
ENST00000267406	CBLN3	Q6UW01
ENST00000250378	CMA1	P23946
ENST00000216338	GZMH	P20718
ENST00000358894	COL20A1	Q9P218
ENST00000264870	F13A1	P00488
ENST00000330523	WFDC10B	Q8IUB3
ENST00000433452	PRAP1	Q96NZ9
ENST00000289953	WFDC8	Q8IUA0
ENST00000649256	EDDM13	A0A1B0GTR0
ENST00000320741	ADIPOQ	Q15848
ENST00000341584	SERPINA6	P08185
ENST00000264828	COL5A3	P25940
ENST00000173229	NTN1	O95631
ENST00000393087	SERPINA1	P01009
ENST00000334708	SERPINA11	Q86U17
ENST00000340171	C3orf33	Q6P1S2
ENST00000258341	LAMC1	P11047
ENST00000674397	SERPINA9	Q86WD7
ENST00000677451	SERPINA12	Q8IW75
ENST00000296252	LIPH	Q8WWY8
ENST00000418386	LTA	P01374
ENST00000327858	FBLN1	P23142
ENST00000367819	XCL2	Q9UBD3
ENST00000375916	APOM	O95445
ENST00000304270	SPACA5B	Q96QH8
ENST00000296046	CPA3	P15088
ENST00000451270	ANXA2	P07355
ENST00000302495	HTRA4	P83105
ENST00000215885	PLA2G3	Q9NZ20
ENST00000278175	ADM	P35318
ENST00000375688	VWA7	Q9Y334
ENST00000320185	FGF8	P55075
ENST00000261883	CILP	O75339
ENST00000335542	GHRL	Q9UBU3
ENST00000218099	F9	P00740
ENST00000372027	MMRN2	Q9H8L6
ENST00000264144	LAMC2	Q13753
ENST00000233156	TFPI	P10646
ENST00000367818	XCL1	P47992
ENST00000222481	CPA2	P48052
ENST00000222482	CPA4	Q9UI42
ENST00000293973	NTN3	O00634
ENST00000307998	EFEMP2	O95967
ENST00000220809	PLAT	P00750
ENST00000220812	DKK4	Q9UBT3
ENST00000295927	PTX3	P26022
ENST00000373025	PGC	P20142
ENST00000287139	NODAL	Q96S42
ENST00000312134	CST6	Q15828
ENST00000254190	CHSY1	Q86X52
ENST00000568223	METRN	Q9UJH8
ENST00000367462	BRINP3	Q76B58
ENST00000254301	LGALS3	P17931
ENST00000611716	PCSK6	P29122
ENST00000275560	SSC4D	Q8WTU2
ENST00000307068	SOSTDC1	Q6X4U4
ENST00000375550	OMD	Q99983
ENST00000371688	LCN8	Q6JVE9
ENST00000266085	TIMP3	P35625
ENST00000217939	MXRA5	Q9NR99
ENST00000253407	C1QL1	O75973
ENST00000359441	FGF17	O60258
ENST00000339464	WNT7B	P56706
ENST00000404190	LIPK	Q5VXJ0
ENST00000315691	DIPK2A	Q8NDZ4
ENST00000306317	LGI3	Q8N145
ENST00000375478	NXPE4	Q6UWF7
ENST00000301455	ANGPTL4	Q9BY76
ENST00000373207	ADAMTS14	Q8WXS8
ENST00000264187	NID1	P14543
ENST00000279804	CTF1	Q16619
ENST00000359237	PLAC1	Q9HBJ0
ENST00000306385	BMP1	P13497
ENST00000267843	FGF7	P21781
ENST00000360937	AOC1	P19801
ENST00000084798	CA11	O75493
ENST00000287143	PRG3	Q9Y2Y8
ENST00000311862	PRG2	P13727
ENST00000379987	NPNT	Q6UXI9
ENST00000444304	C1QTNF7	Q9BXJ2
ENST00000299610	MFAP4	P55083
ENST00000270631	PTH2	Q96A98
ENST00000379405	PRSS3	P35030
ENST00000281882	CFC1B	P0CG36
ENST00000372756	MATN4	O95460
ENST00000263045	CRISP3	P54108
ENST00000541793	CLEC18C	Q8NCF0
ENST00000366930	TGFB2	P61812
ENST00000268070	ADAMTS17	Q8TE56
ENST00000371464	RBP4	P02753
ENST00000334504	COL4A6	Q14031
ENST00000190983	CCN5	O76076
ENST00000222399	LAMB1	P07942
ENST00000170150	BPIFB2	Q8N4F0
ENST00000349552	BPIFB6	Q8NFQ5
ENST00000223271	RARRES2	Q99969
ENST00000328698	DEFB108B	Q8NET1
ENST00000375483	BPIFB4	P59827
ENST00000530210	DEFB131B	A0A096LNP1
ENST00000354932	BPIFA2	Q96DR5
ENST00000375454	BPIFA3	Q9BQP9
ENST00000253354	BPIFB1	Q8TDL5
ENST00000223357	AEBP1	Q8IUX7
ENST00000375494	BPIFB3	P59826
ENST00000261336	PZP	P20742
ENST00000648588	IL21	Q9HBE4
ENST00000262288	SCPEP1	Q9HB40
ENST00000300026	PPIB	P23284
ENST00000309668	INHBC	P55103
ENST00000374954	ASIP	P42127
ENST00000356082	LAMB3	Q13751
ENST00000396618	COCH	O43405
ENST00000361539	BRINP2	Q9C0B6
ENST00000306390	LRG1	P02750
ENST00000649238	LHB	P01229
ENST00000301408	CGB5	P0DN86
ENST00000307358	HTRA3	P83110
ENST00000379984	RS1	O15537
ENST00000218230	PCSK1N	Q9UHG2
ENST00000348931	ZPBP2	Q6X784
ENST00000357330	GALP	Q9UBC7
ENST00000377035	IL31	Q6EBC2
ENST00000376314	DEFB121	Q5J5C9
ENST00000376309	DEFB123	Q8N688
ENST00000317676	DEFB124	Q8NES8
ENST00000200676	CETP	P11597
ENST00000468812	PPIA	P62937
ENST00000380232	IFNB1	P01574
ENST00000380229	IFNW1	P05000
ENST00000380225	IFNA21	P01568
ENST00000601181	CXCL17	Q6UXB2
ENST00000382209	DEFB136	Q30KP8
ENST00000278222	SAA4	P35542
ENST00000318602	A2M	P01023
ENST00000372785	WFDC12	Q8WWY7
ENST00000243924	PI3	P19957
ENST00000372781	SEMG1	P04279
ENST00000372769	SEMG2	Q02383
ENST00000304639	RNASE3	P12724
ENST00000256733	SAA2	P0DJI9
ENST00000400549	DEFB116	Q30KQ4
ENST00000253381	DEFB118	Q96PH6
ENST00000376321	DEFB119	Q8N690
ENST00000221515	RETN	Q9HD89
ENST00000338415	QPCT	Q16769
ENST00000248598	FGL2	Q14314
ENST00000323830	CPN2	P22792
ENST00000290953	AGRP	O00253
ENST00000176195	SCT	P09683
ENST00000333845	EGFL8	Q99944
ENST00000265132	AMBP	P02760
ENST00000382208	DEFB135	Q30KP9
ENST00000271588	HMCN1	Q96RW7
ENST00000242208	INHBA	P08476
ENST00000402312	WDR25	Q64LD2
ENST00000372789	WFDC5	Q8TCV5
ENST00000629816	ANGPT2	O15123
ENST00000291009	PIP	P12273
ENST00000409607	LLCFC1	Q96L11
ENST00000376940	SPACA5	Q96QH8
ENST00000255040	APCS	P02743
ENST00000255030	CRP	P02741
ENST00000223061	PCOLCE	Q15113
ENST00000254627	OC90	Q02509
ENST00000311412	HPSE	Q9Y251
ENST00000312438	CLCF1	Q9UBD9
ENST00000368407	EFNA1	P20827
ENST00000252723	EPO	P01588
ENST00000322507	COL12A1	Q99715
ENST00000332312	EMILIN3	Q9NT22
ENST00000274938	SCUBE3	Q8IX30
ENST00000414222	HHLA1	C9JL84
ENST00000567164	PRSS54	Q6PEW0
ENST00000368378	THBS3	P49746
ENST00000546354	ERFE	Q4G0M1
ENST00000167106	VASH1	Q7L8A9
ENST00000508064	CR1L	Q2VPA4
ENST00000409852	NPPC	P23582
ENST00000382114	LGI2	Q8N0V4
ENST00000373894	SMPDL3B	Q92485
ENST00000372126	GPR15LG	Q6UWK7
ENST00000243501	PLA2G12A	Q9BZM1
ENST00000396819	LTBP4	Q8N2S1
ENST00000479141	PAEP	P09466
ENST00000297848	COL14A1	Q05707
ENST00000533718	FSHB	P01225
ENST00000261172	EPYC	Q99645
ENST00000266718	LUM	P51884
ENST00000370017	FNDC7	Q5VTL7
ENST00000274793	PLA2G7	Q13093
ENST00000052754	DCN	P07585
ENST00000392982	VWA2	Q5GFL6
ENST00000236671	CTSD	P07339
ENST00000226284	IBSP	P21815
ENST00000431365	RLN3	Q8WXF3
ENST00000301061	WNT10B	O00744
ENST00000649637	DHH	O43323
ENST00000287020	GDF6	Q6KF10
ENST00000647395	THPO	P40225
ENST00000247005	GDF1	P27539
ENST00000368272	BGLAP	P02818
ENST00000435363	C4B	P0C0L5
ENST00000259216	CFC1	P0CG37
ENST00000377694	IGFBPL1	Q8WX77
ENST00000651931	DSPP	Q9NZW4
ENST00000221930	TGFB1	P01137
ENST00000538490	FAM180B	Q6P0A1
ENST00000302514	C1QTNF4	Q9BXJ3
ENST00000264553	GZMM	P51124
ENST00000377049	CORT	O00230
ENST00000295731	IHH	Q14623
ENST00000474905	CPA5	Q8WXQ8
ENST00000278407	SERPING1	P05155
ENST00000367412	F13B	P05160
ENST00000445192	PRG4	Q92954
ENST00000672341	AIMP1	Q12904
ENST00000617924	THBS2	P35442
ENST00000508487	CXCL2	P19875
ENST00000295759	GLB1L	Q6UWU2
ENST00000222553	NAMPT	P43490
ENST00000302641	PRSS27	Q9BQR3
ENST00000264888	CXCL9	Q07325
ENST00000306602	CXCL10	P02778
ENST00000472572	C16orf89	Q6UX73
ENST00000306621	CXCL11	O14625
ENST00000315366	ARSJ	Q5FYB0
ENST00000238044	ECRG4	Q9H1Z8
ENST00000287814	TIMP4	Q99727
ENST00000328739	VMO1	Q7Z5L0
ENST00000331264	GLTPD2	A6NH11
ENST00000339673	DMP1	Q13316
ENST00000508775	RNASET2	O00584
ENST00000309422	VEGFB	P49765
ENST00000284818	LY96	Q9Y6Y9
ENST00000395080	SPP1	P10451
ENST00000279441	MMP10	P09238
ENST00000367976	CCN2	P29279
ENST00000358543	ALKAL1	Q6UXT8
ENST00000335847	CRISP1	P54107
ENST00000322066	DEFB114	Q30KQ6
ENST00000398718	DEFB113	Q30KQ7
ENST00000371148	DEFB110	Q30KQ9
ENST00000446050	SERPINI1	Q99574
ENST00000358813	CCL20	P78556
ENST00000651154	GREM1	O60565
ENST00000237837	FGF23	Q9GZV9
ENST00000257868	GDF11	O95390
ENST00000428762	RELN	P78509
ENST00000322569	MMP19	Q99542
ENST00000359342	CGB2	Q6NT52
ENST00000270235	NTN5	Q8WTR8
ENST00000264634	WNT5A	P41221
ENST00000315274	MMP1	P03956
ENST00000305738	PATE1	Q8WXA2
ENST00000358524	PATE2	Q6UY27
ENST00000445202	PATE3	B3GLJ2
ENST00000457514	PATE4	P0C8F1
ENST00000293330	HCRT	O43612
ENST00000378681	UCMA	Q8WVF2
ENST00000682537	CXCL13	O43927
ENST00000229243	ACRBP	Q8NEB7
ENST00000344604	ECM2	O94769
ENST00000571134	DHRS7C	A6NNS2
ENST00000488034	CUTA	O60888
ENST00000397068	ART5	Q96L15
ENST00000458521	TAC3	Q9UHF0
ENST00000336577	MMP25	Q9NPA2
ENST00000371781	LCN1	P31025
ENST00000371776	OBP2A	Q9NY56
ENST00000216341	GZMB	P10144
ENST00000373425	ANGPTL2	Q9UKU9
ENST00000169298	ST6GAL1	P15907
ENST00000269576	KRT10	P13645
ENST00000380518	COL2A1	P02458
ENST00000323322	GH1	P01241
ENST00000342878	SCGB1C1	Q8TD33
ENST00000285599	MAN2B2	Q9Y2E5
ENST00000275525	IGFBP1	P08833
ENST00000225992	PPY	P01298
ENST00000613132	IGFBP3	P17936
ENST00000335125	DHRS4L2	Q6PKH6
ENST00000394420	RSPRY1	Q96DX4
ENST00000354297	BPIFA1	Q9NP55
